student_id,task_id,draft_no,triggered_rules,rule_interpretations,feedback_template_keys,final_feedback_message,onsite_interventions,ai_state_summary,teacher_approval_status,teacher_approved_message,teacher_override_note
9263,task_1,1,A1; A2; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Medium; Linguistic accuracy = Low; Lexical competence = High; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_1,2,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_2,1,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_2,2,A1; A2; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Medium; Linguistic accuracy = Medium; Lexical competence = High; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_3,1,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_3,2,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_4,1,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_4,2,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_5,1,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
9263,task_5,2,A1; A2; B1; B2; B4; C1; D2,weak forethought regulation and low criteria awareness; insufficient planning and underdeveloped task engagement; discourse organization problem; weak claim–evidence–reasoning structure; restricted lexical repertoire; weak self-regulated revision; possible passive disengagement or unrecognized difficulty,criteria_referenced_feedback; elaboration_feedback; strategic_feedback; higher_order_feedback; lexical_enrichment; metacognitive_prompt; motivational_reengagement,"Re-read the rubric before revising. Focus especially on organization, argumentation, and cohesion so that your paragraph matches the task criteria.
 Your paragraph is shorter than expected for this task. Add one supporting detail and one explanatory sentence to develop the argument more fully.
 Your paragraph has a relevant idea, but its organization and cohesion need improvement. Strengthen the topic sentence, develop one supporting point clearly, and use linking expressions such as ""furthermore"", ""in addition"", or ""as a result"".
 Your paragraph needs stronger argument development. Add one clear example or piece of evidence, then explain how it supports your claim.
 Expand your vocabulary by replacing repetitive words with more precise academic expressions.
 Before revising, identify the main weakness in your paragraph. Decide which one change would improve it most, then revise with that goal in mind.
 You need to re-engage more actively with the writing task. Re-read the task prompt, reopen the rubric, and restart with one clear idea.
",rubric walkthrough; guided planning and expansion support; paragraph restructuring support; claim–evidence–explanation scaffold; vocabulary expansion with model alternatives; guided revision checklist; proactive teacher check-in,Forethought risk = High; Engagement risk = High; Argumentation weakness = High; Discourse competence = Low; Linguistic accuracy = Low; Lexical competence = Low; Revision depth = Low; Feedback uptake risk = Low; Help-seeking regulation = None,pending_review,,
