activity_id,title,activity_type,date,details
1,Forum: Writing Task 1: Clarity and Formality in Academic Sentences,Forum,Nov 2025,"Grade for rating: –  |  Grade for forum: –  |  No posts submitted by student
Completion state updated: 20 Nov 2025 10:33 PM  |  Module id: 4789"
2,Forum: First Semester,Forum,"14 Dec 2025 (post)
11 Dec 2025 (completion)","Grade for rating: –  |  Discussion id: 376  |  Module id: 5391
Student post titled 'Evaluation' on 14 Dec 2025, 12:22 PM (full text in Writing Samples sheet)
Completion state updated twice on 11 Dec 2025 11:47–11:49 PM"
3,Feedback: Writing Challenges & Metacognitive Strategies,Feedback Activity,Not started,Status: NOT STARTED  –  no submission or interaction recorded
4,Workshop: Getting Started with Argumentative Essays – Crafting Strong Introductions,Workshop,2 Feb – 11 Feb 2026,"Grade for submission: –  |  Grade for assessment: –  |  Module id: 5731
Student submission topic: Onsite / Online learning
Peer assessments submitted:
  • Assessment of introduction
  • Assessment of online learning vs onsite learning
Peer submissions viewed (10 Feb 2026 7:52 PM):
  • lahmaroumelkheir  (submission id 109)
  • belhosseine kaoutar  (submission id 113)
Multiple views: 3 Feb (7:48 AM, 7:13 PM, 7:12 PM), 4 Feb, 8 Feb 12:45 AM, 10 Feb, 11 Feb"
5,Other Workshop (module id 5728),Workshop,2 Feb 2026,"Viewed 4 times on 2 Feb 2026 between 5:19–5:22 PM  |  Completion state updated twice
Exact workshop title not recorded in log (shown as 'Other')"
6,Forum: check-up,Forum,14 Feb 2026,"Grade for rating: –  |  Grade for forum: –  |  Module id: 5760  |  Discussion id: 575
Post id 1137 created 14 Feb 2026 12:19 PM
Student subscribed to discussion 14 Feb 12:19 PM
Discussion viewed again: 14 Feb 1:04 PM  |  Forum also viewed: 15 Feb 7:20 PM"
7,Quiz: Diagnostic Writing Quiz,Quiz,29 Jan 2026,"Grade: Not yet graded / 24.00  |  Attempt id: 6295  |  Module id: 5704
Attempt submitted: 29 Jan 2026 4:21:51 PM
Pages navigated: page 5 (4:21:24 PM), page 6 (4:21:47 PM)
Attempt reviewed: 29 Jan 2026 4:22:00 PM"
8,Attendance: Attendance (Semester 1 section),Attendance,2025,"Taken sessions: 0  |  Points over taken sessions: 0 / 0  (0.0 %)
Total sessions: 0  |  Points over all sessions: 0 / 0  (0.0 %)
Maximum possible points: 0 / 0  (0.0 %)"
9,Attendance: Students Attendance (Semester 2 section),Attendance,2026,"Taken sessions: 0  |  Points over taken sessions: 0 / 2  (0.0 %)
Total sessions: 1  |  Points over all sessions: 0 / 2  (0.0 %)
Maximum possible points: 2 / 2  (100.0 %)"
10,"File: Academic writing: Clarity, formality & Precision",Resource File,8 views,"Module id: 4901  |  Most recently viewed: 14 Dec 2025 12:21 PM
Also viewed: 20 Nov 2025 10:34 PM, 11 Dec 2025 11:46–11:49 PM"
11,Folder: Argumentative Essay Introductions – Resources,Folder,17 views,"Module id: 5729  |  Most recently viewed: 23 Feb 2026 2:21 AM
Viewed on: 3 Feb (7:49 AM), 8 Feb (12:45 AM & 12:44 AM), 10 Feb (7:51–8:03 PM) × multiple times, 18 Feb (2:23–2:58 PM) × multiple times"
12,Page: Structure of argumentative paragraphs,Page,1 view,Module id: 5970  |  Viewed: 6 Mar 2026 9:51 PM
13,Page: Use this self-assessment rubric to evaluate your paragraph…,Page,1 view,"Module id: 5971  |  Full title: 'Use this self-assessment rubric to evaluate your paragraph before submission so you can identify strengths, revise weaknesses, and improve the overall quality of your writing independently'
Viewed: 6 Mar 2026 9:52 PM"
14,Page: Two model examples: with using AI or against it,Page,3 views,"Module id: 5972  |  Viewed: 6 Mar 2026 10:17 PM (×2), 10 Mar 2026 3:57 PM"
15,Page: Common Transition Words for Essay Writing,Page,1 view,Module id: 5973  |  Viewed: 7 Mar 2026 10:58 PM
